# c_function	status	detail   -- see api_coverage.py for what each status claims
csp_iflist_get_by_name	ported	csp::iflist::IfList
csp_iflist_get_by_addr	ported	csp::iflist::IfList
csp_iflist_get_by_subnet	ported	csp::iflist::IfList
csp_iflist_get_by_broadcast	ported	csp::iflist::IfList
csp_iflist_get_by_index	ported	csp::iflist::IfList
csp_iflist_get_by_isdfl	ported	csp::iflist::IfList
csp_iflist_check_dfl	ported	csp::iflist::IfList
csp_iflist_is_within_subnet	ported	csp::iflist::IfList
csp_iflist_iterate	ported	csp::iflist::IfList
csp_iflist_remove	ported	csp::iflist::IfList
csp_alias_add	ported	csp::iflist::IfList
csp_addr_is_alias	ported	csp::iflist::IfList
csp_bytesize	ported	csp::iflist::IfList
csp_qfifo_write	ported	csp::router::Router::receive
csp_promisc_enable	ported	csp::router::Router::promisc_read
csp_promisc_disable	ported	csp::router::Router::promisc_read
csp_promisc_read	ported	csp::router::Router::promisc_read
csp_bridge_set_interfaces	ported	csp::router::Router::bridge_work
csp_bridge_work	ported	csp::router::Router::bridge_work
csp_route_work	ported	csp::router::Router::work
csp_service_handler	ported	csp::service::respond_cmp
csp_ping	ported	csp::client
csp_ping_noreply	ported	csp::client
csp_reboot	ported	csp::client
csp_shutdown	ported	csp::client
csp_memfree	ported	csp::client
csp_buf_free	ported	csp::client
csp_uptime	ported	csp::client
csp_ps	ported	csp::client
csp_get_memfree	ported	csp::client
csp_get_buf_free	ported	csp::client
csp_get_uptime	ported	csp::client
csp_init	ported	csp::Config
csp_get_conf	ported	csp::Config
csp_bind	ported	csp::node::Node
csp_listen	ported	csp::node::Node
csp_accept	ported	csp::node::Node
csp_close	ported	csp::node::Node
csp_socket_close	ported	csp::node::Node
csp_connect	ported	csp::node::Node
csp_send	ported	csp::node::Node
csp_sendto	ported	csp::node::Node
csp_sendto_reply	ported	csp::node::Node
csp_send_prio	ported	csp::node::Node
csp_read	ported	csp::node::Node
csp_recvfrom	ported	csp::node::Node
csp_transaction	ported	csp::node::Node
csp_transaction_w_opts	ported	csp::node::Node
csp_transaction_persistent	ported	csp::node::Node
csp_conn_dport	ported	csp::node::Node::conn_info
csp_conn_dst	ported	csp::node::Node::conn_info
csp_conn_sport	ported	csp::node::Node::conn_info
csp_conn_src	ported	csp::node::Node::conn_info
csp_conn_flags	ported	csp::node::Node::conn_info
csp_conn_is_active	ported	csp::node::Node::conn_info
csp_rdp_set_opt	ported	csp_core::rdp::SynOptions
csp_rdp_get_opt	ported	csp_core::rdp::SynOptions
csp_can_add_interface	ported	csp_core::cfp
csp_can_remove_interface	ported	csp_core::cfp
csp_can_rx	ported	csp_core::cfp
csp_can_tx	ported	csp_core::cfp
csp_kiss_add_interface	ported	csp_core::kiss
csp_kiss_rx	ported	csp_core::kiss
csp_kiss_tx	ported	csp_core::kiss
csp_i2c_add_interface	ported	csp::iface
csp_i2c_rx	ported	csp::iface
csp_i2c_tx	ported	csp::iface
csp_eth_rx	ported	csp_core::eth
csp_eth_tx	ported	csp_core::eth
csp_eth_pack_header	ported	csp_core::eth
csp_eth_unpack_header	ported	csp_core::eth
csp_eth_arp_get_addr	ported	csp_core::eth::ArpTable
csp_eth_arp_set_addr	ported	csp_core::eth::ArpTable
csp_if_udp_init	ported	csp::iface
csp_hex_dump	out-of-scope	deliberately not ported (SCOPE.md): a no_std crate has no business owning a variadic formatter
